x,y,type
132,57,3
135,53,3
67,59,2
96,99,1
69,72,2
112,49,3
132,60,3
122,50,3
73,71,2
131,51,3
149,52,3
177,50,5
125,51,3
87,92,2
65,64,2
136,53,3
108,70,3
107,51,3
128,50,3
123,43,3
122,54,3
107,124,1
76,86,2
74,78,2
126,46,3
64,67,2
128,55,3
115,47,3
72,79,2
75,77,2
143,49,3
65,75,2
130,52,3
129,55,3
122,51,3
68,82,2
118,46,3
109,52,3
62,70,2
121,51,3
109,93,1
119,56,3
132,42,3
147,50,3
109,180,9
77,88,2
122,50,3
112,44,3
122,60,3
255,134,0
227,10,0
139,51,3
106,105,1
87,49,3
119,55,3
70,83,2
60,59,2
115,51,3
136,56,3
106,83,1
128,54,3
98,106,1
120,53,3
69,94,2
140,52,3
116,53,3
67,71,2
123,45,3
74,84,2
112,39,3
151,57,3
121,44,3
77,68,2
73,80,2
60,88,2
120,46,3
141,53,3
126,44,3
84,41,0
107,124,1
75,92,2
138,48,3
108,49,3
86,103,2
109,47,3
128,54,3
180,50,5
60,76,2
80,90,2
101,44,3
78,92,2
125,58,3
121,55,3
123,39,3
124,44,3
109,45,3
72,70,2
120,102,1
61,0,0
115,88,1
67,69,2
175,52,5
133,52,3
121,51,3
68,73,2
109,52,3
115,124,1
104,111,1
116,49,3
126,59,3
126,52,3
106,83,1
84,107,2
124,58,3
139,58,3
67,71,2
128,42,3
122,54,3
141,101,0
66,72,2
114,52,3
124,57,3
140,46,3
112,48,3
103,113,1
111,46,3
107,47,3
57,67,2
105,52,3
141,64,3
112,90,1
142,54,3
116,47,3
114,49,3
71,80,2
123,60,3
107,60,3
130,57,3
105,57,3
62,78,2
121,57,3
70,74,2
92,93,2
68,69,2
78,93,2
122,62,3
130,55,3
110,50,3
105,44,3
122,48,3
120,50,3
115,104,1
102,114,1
64,61,2
131,56,3
126,58,3
110,43,3
147,53,3
62,70,2
143,51,3
141,52,3
124,50,3
119,54,3
109,91,1
143,48,3
122,55,3
66,72,2
74,94,2
118,49,3
56,80,2
72,73,2
116,47,3
118,53,3
118,57,3
106,119,1
117,55,3
105,49,3
124,53,3
124,51,3
63,63,2
128,51,3
103,103,1
131,47,3
111,161,6
129,52,3
109,47,3
119,50,3
126,53,3
129,48,3
125,51,3
119,44,3
137,50,3
116,48,3
108,107,1
117,115,1
125,47,3
105,111,1
136,55,3
116,52,3
108,110,1
76,93,2
61,71,2
126,49,3
117,63,3
131,57,3
92,97,2
151,44,3
78,95,2
69,81,2
127,54,3
66,83,2
105,119,1
100,52,3
172,57,5
66,46,0
147,51,3
71,72,2
139,60,3
121,53,3
106,124,1
61,69,2
68,75,2
65,58,2
73,45,0
97,133,1
130,50,3
125,49,3
76,73,2
119,42,3
131,55,3
64,63,2
78,74,2
140,49,3
75,69,2
118,49,3
75,0,0
59,2,0
127,57,3
63,86,2
80,100,2
122,44,3
75,67,2
49,20,0
128,68,3
75,88,2
148,48,3
119,43,3
131,52,3
75,66,2
127,47,3
114,53,3
65,69,2
119,51,3
118,52,3
120,45,3
110,49,3
60,73,2
118,52,3
120,114,1
130,57,3
64,84,2
120,53,3
118,49,3
122,49,3
83,74,2
112,102,1
146,51,3
124,47,3
136,53,3
115,59,3
136,55,3
130,66,3
129,56,3
75,91,2
123,57,3
133,58,3
124,45,3
66,87,2
126,62,3
133,43,3
119,44,3
82,105,2
68,62,2
59,64,2
120,51,3
133,51,3
110,48,3
170,53,5
134,57,3
167,51,5
110,53,3
140,52,3
123,43,3
68,78,2
143,50,3
162,40,5
118,55,3
80,89,2
116,52,3
122,47,3
139,52,3
49,59,2
125,59,3
69,70,2
120,109,1
140,52,3
123,56,3
83,97,2
130,46,3
117,58,3
121,54,3
107,99,1
143,80,0
134,45,3
139,53,3
112,115,1
128,46,3
109,38,3
136,58,3
134,48,3
116,46,3
109,51,3
107,47,3
84,92,2
133,54,3
144,59,3
67,66,2
125,46,3
102,106,1
137,55,3
139,55,3
75,67,2
115,52,3
115,96,1
104,55,3
129,45,3
133,51,3
70,89,2
74,76,2
66,41,0
71,47,0
139,50,3
123,113,1
127,48,3
124,45,3
135,56,3
113,50,3
117,50,3
122,45,3
130,57,3
122,99,1
142,62,3
130,51,3
84,107,2
72,69,2
64,73,2
122,50,3
81,80,2
134,42,3
59,34,0
52,71,2
85,81,2
78,91,2
73,71,2
105,121,1
114,54,3
109,45,3
115,51,3
124,47,3
119,50,3
77,102,2
122,52,3
71,83,2
44,47,2
142,57,3
110,51,3
126,55,3
68,90,2
132,54,3
143,52,3
128,54,3
123,47,3
72,101,2
136,58,3
130,56,3
153,54,3
71,75,2
106,73,3
116,44,3
145,51,3
150,47,3
121,54,3
140,63,3
127,55,3
133,57,3
69,64,2
114,48,3
41,18,0
111,100,1
63,77,2
37,15,0
121,52,3
64,78,2
102,88,1
140,54,3
75,80,2
118,43,3
126,55,3
128,44,3
143,48,3
126,50,3
134,46,3
99,80,1
110,48,3
125,63,3
129,50,3
126,49,3
65,77,2
126,83,0
122,55,3
71,37,0
108,48,3
175,43,5
131,34,3
133,54,3
69,73,2
125,65,3
127,58,3
106,58,3
113,51,3
115,49,3
102,100,1
128,52,3
131,50,3
118,44,3
114,99,1
78,75,2
122,54,3
102,48,3
117,48,3
119,99,1
96,106,1
117,45,3
127,44,3
60,21,0
70,78,2
130,58,3
135,49,3
126,50,3
119,53,3
129,47,3
93,117,1
135,43,3
143,51,3
107,48,3
107,48,3
61,56,2
82,66,2
131,55,3
141,59,3
128,53,3
123,46,3
123,130,1
129,53,3
